Category,Availability,TemplateName,DisplayNameKey,DisplayNameEnglish,FlavorKey,FlavorEnglish,DescriptionKey,DescriptionEnglish,Tags,AbstractTypes,ActionTypes,SkillGraphGuids,SkillGraphPaths,AddValue,Duration,AddValueTimesDuration,StatEnums,AssetPath
food,not-in-use,ItemTemplate_Alchemy_SmallStaminaPotion,item_craftingresults_alchemy_SmallStaminaPotion,Small Stamina Potion,,,NameSkill_Consumable_HealOverTimeFlat_Desc,Restores [HealValueCalculated] [StatEnum] over [Duration]s.,,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Abstract_ItemTemplate_EdibleRawPositiveSP.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_EdibleRawPositive.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_EdibleRawSP.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_EdibleRaw.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_EdibleSP.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Edible.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_ConsumableSP.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_ConsumablePositive.prefab,Eat,4d431d204820819429d8f7bac4177644 | 044ae51b997dbfd4daa7ec3c4051d2a0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_HealOverTimeStatusFlat.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_OverdrinkAlchemy.prefab,,10.0 | 60.0,,Health,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Alchemy/AdvancedPotions/NotInUse/ItemTemplate_Alchemy_SmallStaminaPotion.prefab
food,normal,ItemTemplate_Consumable_Quest_EtherbloomCrumble,item_consumable_EtherbloomScramble,Heiko’s Crumble,Template/flavor_locString_2543871262668956605_535a34c98b80fad49a7a0a17db8a7cd3,,Template/description_locString_2543871262668956605_535a34c98b80fad49a7a0a17db8a7cd3,It looks somewhat edible...,item:quest,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,4d431d204820819429d8f7bac4177644 | 3888125efe7623243b1565a7d9be2c0a | a837e47601d15e845b410704c66636bb,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_HealOverTimeStatusFlat.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Quests/SetFlag_HeikoScramble.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus.prefab,,10.0 | 30.0,,Health,Assets/Data/Templates/Items/ItemTemplates/CrazyConsumables/Perm/QuestItems/ItemTemplate_Consumable_Quest_EtherbloomCrumble.prefab
food,normal,ItemTemplate_Consumable_Quest_GreatMistake,item_consumable_GreatMistake,Great Mistake,Template/flavor_locString_2543871262668956605_26e8fad854345c044b327728037f3fa7,"If it stinks, cut off your nose. Problem solved. If it tastes foul, slice your tongue off. No taste, no complaints.",NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:quest,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,ec29ef0ab894f1e4694e084ae763de09 | a215be54d2d9dce48a86a2d2cc5fbf19,Assets/Data/Templates/SkillGraphs/Consumable/Quests/SetFlag_AkiGreatMistake.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_Poison.prefab,,30.0,,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CrazyConsumables/Perm/QuestItems/ItemTemplate_Consumable_Quest_GreatMistake.prefab
food,normal,ItemTemplate_Cooking_Custom_AppleFritters,item_craftingresults_cooking_AppleFritters,Apple Fritters,,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | 7191459edbd5a2f4d8d9c324f5f105ad | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_StatIncreaseForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,1.2000000476837158 | 5.0,60.0 | 60.0,72.00000286102295 | 300.0,HealthRegen | MaxStamina,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Dish/ItemTemplate_Cooking_Custom_AppleFritters.prefab
food,normal,ItemTemplate_Cooking_Custom_AppleOatmeal,item_craftingresults_cooking_AppleOatmeal,Apple Oatmeal,,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,1.2999999523162842,60.0,77.99999713897705,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Bowl/ItemTemplate_Cooking_Custom_AppleOatmeal.prefab
food,normal,ItemTemplate_Cooking_Custom_BeefStew,item_craftingresults_cooking_BeefStew,Beef Stew,,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,2.0,60.0,120.0,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Bowl/ItemTemplate_Cooking_Custom_BeefStew.prefab
food,normal,ItemTemplate_Cooking_Custom_BeggarsFare,item_craftingresults_cooking_BeggarsFare,Beggar's Fare,,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,0.800000011920929,60.0,48.00000071525574,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Bowl/ItemTemplate_Cooking_Custom_BeggarsFare.prefab
food,normal,ItemTemplate_Cooking_Custom_Broth,item_craftingresults_cooking_Broth,Broth,,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,1.600000023841858,60.0,96.00000143051147,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Bowl/ItemTemplate_Cooking_Custom_Broth.prefab
food,normal,ItemTemplate_Cooking_Custom_CabbageRolls,item_craftingresults_cooking_CabbageRolls,Cabbage Rolls,Template/flavor_locString_2543871262668956605_a2c6b5b4cbc44b741b5a743650140cba,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,1.600000023841858,60.0,96.00000143051147,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Dish/ItemTemplate_Cooking_Custom_CabbageRolls.prefab
food,normal,ItemTemplate_Cooking_Custom_CheeseBallDoom,item_craftingresults_cooking_CheeseBallDoom,Cheese Ball of Doom,Template/flavor_locString_2543871262668956605_393454d6bd221054cb3fbff112bbdfef,,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,item:dish | item:edible,Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Foodstuff.prefab | Assets/Data/Templates/Items/ItemTemplates/AbstractTypes/Consumable/Partial/Abstract_ItemTemplate_Consumable.prefab,Eat,1c2da8428b5a74142b93ed84593676a9 | d6b5b990cd4a1064ab940dda37b9b2c0,Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_ApplyStatus_FoodHealForDuration.prefab | Assets/Data/Templates/SkillGraphs/Consumable/Prefabs/Consumable_Overeat.prefab,1.2999999523162842,60.0,77.99999713897705,HealthRegen,Assets/Data/Templates/Items/ItemTemplates/CraftingResults/Cooking/Custom/Dish/ItemTemplate_Cooking_Custom_CheeseBallDoom.prefab
